filename,bristol_type
Captura de Tela 2025-11-05 às 09.40.12.png,6
Captura de Tela 2025-10-23 às 11.01.47.png,6
Captura de Tela 2025-11-10 às 09.08.40.png,3
Captura de Tela 2025-11-05 às 11.15.36.png,2
Captura de Tela 2025-11-05 às 09.01.24.png,5
Captura de Tela 2025-11-10 às 11.34.30.png,3
Captura de Tela 2025-11-05 às 12.07.34.png,5
Captura de Tela 2025-11-05 às 11.05.36.png,1
Captura de Tela 2025-11-05 às 11.56.17.png,5
Captura de Tela 2025-11-05 às 11.54.54.png,6
Captura de Tela 2025-11-10 às 12.19.33.png,4
Captura de Tela 2025-10-23 às 11.17.16.png,1
Captura de Tela 2025-11-05 às 09.30.48.png,1
Captura de Tela 2025-11-05 às 11.01.05.png,3
Captura de Tela 2025-11-10 às 11.11.20.png,2
Captura de Tela 2025-11-10 às 11.37.53.png,4
Captura de Tela 2025-11-05 às 12.06.24.png,6
Captura de Tela 2025-11-10 às 12.12.44.png,4
Captura de Tela 2025-11-10 às 11.27.35.png,4
Captura de Tela 2025-11-10 às 11.03.23.png,3
Captura de Tela 2025-11-05 às 11.56.40.png,5
Captura de Tela 2025-11-05 às 11.56.01.png,4
Captura de Tela 2025-11-05 às 10.45.31.png,2
Captura de Tela 2025-11-05 às 12.15.24.png,7
Captura de Tela 2025-11-10 às 11.05.57.png,3
Captura de Tela 2025-11-05 às 10.50.36.png,1
Captura de Tela 2025-11-05 às 09.37.36.png,7
Captura de Tela 2025-11-05 às 12.10.00.png,7
Captura de Tela 2025-11-05 às 10.36.03.png,2
Captura de Tela 2025-11-05 às 10.40.12.png,1
Captura de Tela 2025-11-05 às 12.14.00.png,7
Captura de Tela 2025-11-05 às 09.20.33.png,6
Captura de Tela 2025-11-05 às 10.37.56.png,1
Captura de Tela 2025-11-05 às 11.05.56.png,1
Captura de Tela 2025-11-05 às 09.10.15.png,5
Captura de Tela 2025-11-05 às 12.12.55.png,7
Captura de Tela 2025-11-05 às 11.59.26.png,5
Captura de Tela 2025-11-05 às 10.36.45.png,1
Captura de Tela 2025-10-23 às 11.09.38.png,2
Captura de Tela 2025-11-05 às 09.12.28.png,5
Captura de Tela 2025-11-05 às 09.14.15.png,6
Captura de Tela 2025-10-23 às 12.11.33.png,6
Captura de Tela 2025-11-10 às 11.04.23.png,5
Captura de Tela 2025-11-05 às 11.51.20.png,4
Captura de Tela 2025-11-05 às 10.39.52.png,1
Captura de Tela 2025-11-10 às 12.21.47.png,3
Captura de Tela 2025-10-23 às 11.15.21.png,5
h5rVydkPXg1T.jpg,7
Captura de Tela 2025-11-05 às 09.38.35.png,6
Captura de Tela 2025-11-10 às 11.12.50.png,3
Captura de Tela 2025-10-23 às 12.14.19.png,6
Captura de Tela 2025-11-10 às 12.36.33.png,3
Captura de Tela 2025-11-10 às 11.02.38.png,2
Captura de Tela 2025-11-05 às 11.45.35.png,5
Captura de Tela 2025-11-05 às 11.11.06.png,2
Captura de Tela 2025-11-10 às 11.06.56.png,4
Captura de Tela 2025-11-05 às 10.51.05.png,1
Captura de Tela 2025-11-05 às 12.11.05.png,6
Captura de Tela 2025-10-23 às 10.58.32.png,6
Captura de Tela 2025-11-10 às 12.08.06.png,3
Captura de Tela 2025-11-05 às 11.10.03.png,2
Captura de Tela 2025-11-05 às 12.08.03.png,6
Captura de Tela 2025-11-10 às 11.12.01.png,2
Captura de Tela 2025-11-10 às 12.11.20.png,4
Captura de Tela 2025-10-23 às 10.57.47.png,6
Captura de Tela 2025-11-09 às 13.07.38.png,2
Captura de Tela 2025-11-05 às 11.52.35.png,5
Captura de Tela 2025-11-05 às 11.59.45.png,5
Captura de Tela 2025-11-05 às 10.36.23.png,1
Captura de Tela 2025-11-10 às 14.59.35.png,4
Captura de Tela 2025-11-05 às 11.28.48.png,3
Captura de Tela 2025-10-23 às 12.08.19.png,5
Captura de Tela 2025-11-05 às 09.00.24.png,7
Captura de Tela 2025-10-23 às 12.06.26.png,6
Captura de Tela 2025-11-05 às 09.12.55.png,7
Captura de Tela 2025-11-10 às 11.23.31.png,2
Captura de Tela 2025-11-09 às 13.08.07.png,3
Captura de Tela 2025-11-05 às 10.37.33.png,2
Captura de Tela 2025-11-05 às 10.38.16.png,1
Captura de Tela 2025-11-10 às 15.02.41.png,4
Captura de Tela 2025-11-05 às 12.01.11.png,4
Captura de Tela 2025-11-10 às 11.36.21.png,3
3EYJWti0C3YK.jpg,7
Captura de Tela 2025-11-05 às 09.00.52.png,7
Captura de Tela 2025-10-23 às 11.47.43.png,4
Captura de Tela 2025-11-05 às 10.39.09.png,1
Captura de Tela 2025-11-05 às 10.40.55.png,1
Captura de Tela 2025-11-10 às 11.35.10.png,3
Captura de Tela 2025-11-05 às 12.04.13.png,6
Captura de Tela 2025-10-23 às 11.59.30.png,5
Captura de Tela 2025-11-05 às 10.43.46.png,1
Captura de Tela 2025-10-23 às 11.06.38.png,6
Captura de Tela 2025-11-05 às 11.24.50.png,3
Captura de Tela 2025-11-05 às 09.25.31.png,6
Captura de Tela 2025-10-23 às 12.13.04.png,5
Captura de Tela 2025-10-23 às 10.57.13.png,6
Captura de Tela 2025-11-05 às 09.10.47.png,7
Captura de Tela 2025-11-10 às 09.09.24.png,3
Captura de Tela 2025-11-10 às 11.18.19.png,3
Captura de Tela 2025-11-10 às 12.41.25.png,4
Captura de Tela 2025-11-10 às 11.33.49.png,2
Captura de Tela 2025-10-23 às 11.56.25.png,6
Captura de Tela 2025-11-05 às 12.14.45.png,7
TWvTAHn0L0zL.jpeg,6
Captura de Tela 2025-11-10 às 11.00.50.png,3
Captura de Tela 2025-11-10 às 11.18.02.png,2
Captura de Tela 2025-11-10 às 10.01.33.png,4
Captura de Tela 2025-11-05 às 10.50.13.png,1
Captura de Tela 2025-11-05 às 12.09.25.png,3
Captura de Tela 2025-11-05 às 09.07.45.png,6
Captura de Tela 2025-11-05 às 12.13.11.png,7
Captura de Tela 2025-11-05 às 12.07.05.png,6
Captura de Tela 2025-11-05 às 09.31.49.png,6
Captura de Tela 2025-10-23 às 11.18.46.png,5
Captura de Tela 2025-11-05 às 10.47.21.png,2
Captura de Tela 2025-11-05 às 12.08.20.png,5
Captura de Tela 2025-11-05 às 09.26.30.png,7
Captura de Tela 2025-10-23 às 11.53.53.png,1
Captura de Tela 2025-11-10 às 11.02.11.png,3
Captura de Tela 2025-11-05 às 11.57.35.png,5
Captura de Tela 2025-10-23 às 11.59.06.png,5
Captura de Tela 2025-11-05 às 11.58.20.png,5
Captura de Tela 2025-10-23 às 11.09.05.png,4
Captura de Tela 2025-11-05 às 11.49.40.png,4
Captura de Tela 2025-11-10 às 11.29.35.png,4
Captura de Tela 2025-11-05 às 11.26.06.png,3
Captura de Tela 2025-11-05 às 09.09.23.png,7
Captura de Tela 2025-11-10 às 12.08.39.png,3
Captura de Tela 2025-11-05 às 09.41.09.png,7
Captura de Tela 2025-11-05 às 11.51.02.png,4
Captura de Tela 2025-11-05 às 12.15.51.png,7
Captura de Tela 2025-11-05 às 10.49.00.png,1
Captura de Tela 2025-11-05 às 09.37.09.png,6
Captura de Tela 2025-11-10 às 11.33.25.png,3
Captura de Tela 2025-11-10 às 12.15.47.png,4
Captura de Tela 2025-11-05 às 10.41.15.png,1
Captura de Tela 2025-11-05 às 11.28.07.png,4
Captura de Tela 2025-10-23 às 12.05.44.png,6
Captura de Tela 2025-11-05 às 11.44.04.png,4
