filename,bristol_type
Captura de Tela 2025-11-05 às 11.05.36.png,1
Captura de Tela 2025-11-05 às 11.05.56.png,1
Captura de Tela 2025-11-05 às 11.07.00.png,4
Captura de Tela 2025-11-05 às 11.07.23.png,1
Captura de Tela 2025-11-05 às 11.10.03.png,2
Captura de Tela 2025-11-05 às 11.10.32.png,3
Captura de Tela 2025-11-05 às 11.11.06.png,2
Captura de Tela 2025-11-05 às 11.12.38.png,3
Captura de Tela 2025-11-05 às 11.15.36.png,2
Captura de Tela 2025-11-05 às 11.16.03.png,2
Captura de Tela 2025-11-05 às 11.16.27.png,3
Captura de Tela 2025-11-05 às 11.24.50.png,3
Captura de Tela 2025-11-05 às 11.25.12.png,4
Captura de Tela 2025-11-05 às 11.25.41.png,4
Captura de Tela 2025-11-05 às 11.26.06.png,3
Captura de Tela 2025-11-05 às 11.26.27.png,3
Captura de Tela 2025-11-05 às 11.26.53.png,3
Captura de Tela 2025-11-05 às 11.27.22.png,3
Captura de Tela 2025-11-05 às 11.27.44.png,3
Captura de Tela 2025-11-05 às 11.28.07.png,4
Captura de Tela 2025-11-05 às 11.28.26.png,3
Captura de Tela 2025-11-05 às 11.28.48.png,3
Captura de Tela 2025-11-05 às 11.29.11.png,3
Captura de Tela 2025-11-05 às 11.29.35.png,4
Captura de Tela 2025-11-05 às 11.41.08.png,4
Captura de Tela 2025-11-05 às 11.41.27.png,4
Captura de Tela 2025-11-05 às 11.41.48.png,4
Captura de Tela 2025-11-05 às 11.43.05.png,4
Captura de Tela 2025-11-05 às 11.43.28.png,4
Captura de Tela 2025-11-05 às 11.43.44.png,4
Captura de Tela 2025-11-05 às 11.44.04.png,4
Captura de Tela 2025-11-05 às 11.44.26.png,3
Captura de Tela 2025-11-05 às 11.44.49.png,3
Captura de Tela 2025-11-05 às 11.45.08.png,4
Captura de Tela 2025-11-05 às 11.45.35.png,5
Captura de Tela 2025-11-05 às 11.45.58.png,4
Captura de Tela 2025-11-05 às 11.46.15.png,4
Captura de Tela 2025-11-05 às 11.46.36.png,4
Captura de Tela 2025-11-05 às 11.46.56.png,4
Captura de Tela 2025-11-05 às 11.47.19.png,4
Captura de Tela 2025-11-05 às 11.47.39.png,4
Captura de Tela 2025-11-05 às 11.49.40.png,4
Captura de Tela 2025-11-05 às 11.50.00.png,4
Captura de Tela 2025-11-05 às 11.50.18.png,4
Captura de Tela 2025-11-05 às 11.50.45.png,4
Captura de Tela 2025-11-05 às 11.51.02.png,4
Captura de Tela 2025-11-05 às 11.51.20.png,4
Captura de Tela 2025-11-05 às 11.52.00.png,4
Captura de Tela 2025-11-05 às 11.52.17.png,4
Captura de Tela 2025-11-05 às 11.52.35.png,5
Captura de Tela 2025-11-05 às 11.52.58.png,4
Captura de Tela 2025-11-05 às 11.53.19.png,4
Captura de Tela 2025-11-05 às 11.53.37.png,4
Captura de Tela 2025-11-05 às 11.53.58.png,4
Captura de Tela 2025-11-05 às 11.54.21.png,4
Captura de Tela 2025-11-05 às 11.54.54.png,6
Captura de Tela 2025-11-05 às 11.55.20.png,5
Captura de Tela 2025-11-05 às 11.55.41.png,4
Captura de Tela 2025-11-05 às 11.56.01.png,4
Captura de Tela 2025-11-05 às 11.56.17.png,5
Captura de Tela 2025-11-05 às 11.56.40.png,5
Captura de Tela 2025-11-05 às 11.57.35.png,5
Captura de Tela 2025-11-05 às 11.57.53.png,5
Captura de Tela 2025-11-05 às 11.58.20.png,5
Captura de Tela 2025-11-05 às 11.58.40.png,1
Captura de Tela 2025-11-05 às 11.59.00.png,1
Captura de Tela 2025-11-05 às 11.59.26.png,5
Captura de Tela 2025-11-05 às 11.59.45.png,5
Captura de Tela 2025-11-05 às 12.00.06.png,6
Captura de Tela 2025-11-05 às 12.00.25.png,5
Captura de Tela 2025-11-05 às 12.00.40.png,4
Captura de Tela 2025-11-05 às 12.01.11.png,4
Captura de Tela 2025-11-05 às 12.03.00.png,6
Captura de Tela 2025-11-05 às 12.03.28.png,5
Captura de Tela 2025-11-05 às 12.03.56.png,6
Captura de Tela 2025-11-05 às 12.04.13.png,6
Captura de Tela 2025-11-05 às 12.06.24.png,6
Captura de Tela 2025-11-05 às 12.06.48.png,6
Captura de Tela 2025-11-05 às 12.07.05.png,6
Captura de Tela 2025-11-05 às 12.07.34.png,5
Captura de Tela 2025-11-05 às 12.08.03.png,6
Captura de Tela 2025-11-05 às 12.08.20.png,5
Captura de Tela 2025-11-05 às 12.08.44.png,7
Captura de Tela 2025-11-05 às 12.09.04.png,6
Captura de Tela 2025-11-05 às 12.09.25.png,3
Captura de Tela 2025-11-05 às 12.10.00.png,7
Captura de Tela 2025-11-05 às 12.10.23.png,5
Captura de Tela 2025-11-05 às 12.11.05.png,6
Captura de Tela 2025-11-05 às 12.12.55.png,7
Captura de Tela 2025-11-05 às 12.13.11.png,7
Captura de Tela 2025-11-05 às 12.13.35.png,7
Captura de Tela 2025-11-05 às 12.14.00.png,7
Captura de Tela 2025-11-05 às 12.14.15.png,7
Captura de Tela 2025-11-05 às 12.14.45.png,7
Captura de Tela 2025-11-05 às 12.15.06.png,7
Captura de Tela 2025-11-05 às 12.15.24.png,7
Captura de Tela 2025-11-05 às 12.15.51.png,7
Captura de Tela 2025-11-09 às 13.04.04.png,3
Captura de Tela 2025-11-09 às 13.05.09.png,3
Captura de Tela 2025-11-09 às 13.05.32.png,3
Captura de Tela 2025-11-09 às 13.06.18.png,4
Captura de Tela 2025-11-09 às 13.07.10.png,3
Captura de Tela 2025-11-09 às 13.07.38.png,2
Captura de Tela 2025-11-09 às 13.08.07.png,3
Captura de Tela 2025-11-10 às 08.50.16.png,3
Captura de Tela 2025-11-10 às 09.08.40.png,3
Captura de Tela 2025-11-10 às 09.09.03.png,3
Captura de Tela 2025-11-10 às 09.09.24.png,3
Captura de Tela 2025-11-10 às 09.09.50.png,3
Captura de Tela 2025-11-10 às 09.10.24.png,3
Captura de Tela 2025-11-10 às 09.59.53.png,3
Captura de Tela 2025-11-10 às 10.01.33.png,4
Captura de Tela 2025-11-10 às 11.00.50.png,3
Captura de Tela 2025-11-10 às 11.01.14.png,4
Captura de Tela 2025-11-10 às 11.02.11.png,3
Captura de Tela 2025-11-10 às 11.02.38.png,2
Captura de Tela 2025-11-10 às 11.02.57.png,3
Captura de Tela 2025-11-10 às 11.03.23.png,3
Captura de Tela 2025-11-10 às 11.04.23.png,5
Captura de Tela 2025-11-10 às 11.04.45.png,2
Captura de Tela 2025-11-10 às 11.05.07.png,3
Captura de Tela 2025-11-10 às 11.05.40.png,4
Captura de Tela 2025-11-10 às 11.05.57.png,3
Captura de Tela 2025-11-10 às 11.06.32.png,3
Captura de Tela 2025-11-10 às 11.06.56.png,4
Captura de Tela 2025-11-10 às 11.07.17.png,3
Captura de Tela 2025-11-10 às 11.08.05.png,4
Captura de Tela 2025-11-10 às 11.08.45.png,4
Captura de Tela 2025-11-10 às 11.11.20.png,2
Captura de Tela 2025-11-10 às 11.11.42.png,3
Captura de Tela 2025-11-10 às 11.12.01.png,2
Captura de Tela 2025-11-10 às 11.12.19.png,3
Captura de Tela 2025-11-10 às 11.12.50.png,3
Captura de Tela 2025-11-10 às 11.13.12.png,3
Captura de Tela 2025-11-10 às 11.13.56.png,3
Captura de Tela 2025-11-10 às 11.15.13.png,3
Captura de Tela 2025-11-10 às 11.15.32.png,3
Captura de Tela 2025-11-10 às 11.16.45.png,3
Captura de Tela 2025-11-10 às 11.17.08.png,4
Captura de Tela 2025-11-10 às 11.17.33.png,4
Captura de Tela 2025-11-10 às 11.18.02.png,2
Captura de Tela 2025-11-10 às 11.18.19.png,3
Captura de Tela 2025-11-10 às 11.18.53.png,3
Captura de Tela 2025-11-10 às 11.22.01.png,4
Captura de Tela 2025-11-10 às 11.22.26.png,3
Captura de Tela 2025-11-10 às 11.23.13.png,3
Captura de Tela 2025-11-10 às 11.23.31.png,2
Captura de Tela 2025-11-10 às 11.26.39.png,3
Captura de Tela 2025-11-10 às 11.27.01.png,3
Captura de Tela 2025-11-10 às 11.27.35.png,4
Captura de Tela 2025-11-10 às 11.28.00.png,4
Captura de Tela 2025-11-10 às 11.28.17.png,3
Captura de Tela 2025-11-10 às 11.28.36.png,3
Captura de Tela 2025-11-10 às 11.28.54.png,4
Captura de Tela 2025-11-10 às 11.29.18.png,3
Captura de Tela 2025-11-10 às 11.29.35.png,4
Captura de Tela 2025-11-10 às 11.29.57.png,3
Captura de Tela 2025-11-10 às 11.32.12.png,4
Captura de Tela 2025-11-10 às 11.32.36.png,4
Captura de Tela 2025-11-10 às 11.33.25.png,3
Captura de Tela 2025-11-10 às 11.33.49.png,2
Captura de Tela 2025-11-10 às 11.34.30.png,3
Captura de Tela 2025-11-10 às 11.34.51.png,4
Captura de Tela 2025-11-10 às 11.35.10.png,3
Captura de Tela 2025-11-10 às 11.35.29.png,3
Captura de Tela 2025-11-10 às 11.36.02.png,3
Captura de Tela 2025-11-10 às 11.36.21.png,3
Captura de Tela 2025-11-10 às 11.36.41.png,4
Captura de Tela 2025-11-10 às 11.37.07.png,3
Captura de Tela 2025-11-10 às 11.37.34.png,4
Captura de Tela 2025-11-10 às 11.37.53.png,4
Captura de Tela 2025-11-10 às 11.38.28.png,4
Captura de Tela 2025-11-10 às 11.38.51.png,3
Captura de Tela 2025-11-10 às 11.59.32.png,3
Captura de Tela 2025-11-10 às 12.00.01.png,3
Captura de Tela 2025-11-10 às 12.00.34.png,4
Captura de Tela 2025-11-10 às 12.01.05.png,3
Captura de Tela 2025-11-10 às 12.01.52.png,4
Captura de Tela 2025-11-10 às 12.02.20.png,4
Captura de Tela 2025-11-10 às 12.02.44.png,4
Captura de Tela 2025-11-10 às 12.07.16.png,3
Captura de Tela 2025-11-10 às 12.07.38.png,4
Captura de Tela 2025-11-10 às 12.08.06.png,3
Captura de Tela 2025-11-10 às 12.08.39.png,3
Captura de Tela 2025-11-10 às 12.09.36.png,4
Captura de Tela 2025-11-10 às 12.10.04.png,3
Captura de Tela 2025-11-10 às 12.10.30.png,4
Captura de Tela 2025-11-10 às 12.10.54.png,4
Captura de Tela 2025-11-10 às 12.11.20.png,4
Captura de Tela 2025-11-10 às 12.12.44.png,4
Captura de Tela 2025-11-10 às 12.13.10.png,4
Captura de Tela 2025-11-10 às 12.13.27.png,3
Captura de Tela 2025-11-10 às 12.13.54.png,2
Captura de Tela 2025-11-10 às 12.15.28.png,4
Captura de Tela 2025-11-10 às 12.15.47.png,4
Captura de Tela 2025-11-10 às 12.16.40.png,4
Captura de Tela 2025-11-10 às 12.17.04.png,4
Captura de Tela 2025-11-10 às 12.17.55.png,4
Captura de Tela 2025-11-10 às 12.18.15.png,3
Captura de Tela 2025-11-10 às 12.19.05.png,3
Captura de Tela 2025-11-10 às 12.19.33.png,4
Captura de Tela 2025-11-10 às 12.20.24.png,4
Captura de Tela 2025-11-10 às 12.21.02.png,4
Captura de Tela 2025-11-10 às 12.21.26.png,4
Captura de Tela 2025-11-10 às 12.21.47.png,3
Captura de Tela 2025-11-10 às 12.22.13.png,4
Captura de Tela 2025-11-10 às 12.22.48.png,4
Captura de Tela 2025-11-10 às 12.23.20.png,4
Captura de Tela 2025-11-10 às 12.23.40.png,3
Captura de Tela 2025-11-10 às 12.24.07.png,4
Captura de Tela 2025-11-10 às 12.27.14.png,4
Captura de Tela 2025-11-10 às 12.27.43.png,3
Captura de Tela 2025-11-10 às 12.28.08.png,3
Captura de Tela 2025-11-10 às 12.28.33.png,4
Captura de Tela 2025-11-10 às 12.29.20.png,4
Captura de Tela 2025-11-10 às 12.30.02.png,4
Captura de Tela 2025-11-10 às 12.30.30.png,3
Captura de Tela 2025-11-10 às 12.31.12.png,4
Captura de Tela 2025-11-10 às 12.31.56.png,4
Captura de Tela 2025-11-10 às 12.32.26.png,4
Captura de Tela 2025-11-10 às 12.33.48.png,4
Captura de Tela 2025-11-10 às 12.35.01.png,4
Captura de Tela 2025-11-10 às 12.35.30.png,3
Captura de Tela 2025-11-10 às 12.36.33.png,3
Captura de Tela 2025-11-10 às 12.37.52.png,4
Captura de Tela 2025-11-10 às 12.38.13.png,4
Captura de Tela 2025-11-10 às 12.39.01.png,4
Captura de Tela 2025-11-10 às 12.39.30.png,4
Captura de Tela 2025-11-10 às 12.41.25.png,4
Captura de Tela 2025-11-10 às 12.42.28.png,4
Captura de Tela 2025-11-10 às 12.43.31.png,3
Captura de Tela 2025-11-10 às 12.44.54.png,4
Captura de Tela 2025-11-10 às 12.45.25.png,4
Captura de Tela 2025-11-10 às 12.46.01.png,4
Captura de Tela 2025-11-10 às 12.49.25.png,4
Captura de Tela 2025-11-10 às 12.50.27.png,4
Captura de Tela 2025-11-10 às 14.50.21.png,4
Captura de Tela 2025-11-10 às 14.51.02.png,4
Captura de Tela 2025-11-10 às 14.51.34.png,4
Captura de Tela 2025-11-10 às 14.57.53.png,3
Captura de Tela 2025-11-10 às 14.58.14.png,4
Captura de Tela 2025-11-10 às 14.59.35.png,4
Captura de Tela 2025-11-10 às 14.59.35.png,4
Captura de Tela 2025-11-10 às 15.01.44.png,4
Captura de Tela 2025-11-10 às 15.02.41.png,4
Captura de Tela 2025-11-10 às 15.04.09.png,4
